"","gene_id","entrezgene","ensembl_gene_id","transcript_id.transcript_id_TCGA.BH.A0B6.01A.11R.A19W.07","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FIGF|2277","FIGF",2277,"ENSG00000165197","uc004cwt.1",-6.27131120830498,0.253337184896375,-23.562199038801,1.18658318077775e-51,1.94528446656704e-47,106.950424685397
"PAMR1|25891","PAMR1",25891,"ENSG00000149090","uc001mwf.2,uc001mwg.2,uc010rew.1,uc010rex.1",-3.78676436325887,2.97339687873387,-21.3903264839933,6.98452600734081e-47,5.72521596821726e-43,96.241277064608
"LOC728264|728264","MIR143HG",728264,"ENSG00000249669","uc003lqp.2,uc003lqq.2,uc003lqr.2,uc003lqs.2",-3.86757712497643,3.56031040182502,-21.0040250029757,5.24134577728349e-46,2.16286711637957e-42,94.2353715104786
"RYR3|6263","RYR3",6263,"ENSG00000198838","uc001zhi.2,uc010bar.2",-3.72314039779948,-0.0529398353200346,-21.002723841727,5.27721633861064e-46,2.16286711637957e-42,93.9542267944063
"ADAMTS5|11096","ADAMTS5",11096,"ENSG00000154736","uc002ymg.2",-3.30708440741789,4.4410072422786,-20.6148991067666,4.06844166917966e-45,1.30066946343911e-41,92.1784363041202
"SDPR|8436","SDPR",8436,"ENSG00000168497","uc002utb.2",-4.22391589796515,3.80226886283036,-20.5852270753907,4.760288386382e-45,1.30066946343911e-41,92.0355715402043
"ABCA10|10349","ABCA10",10349,"ENSG00000154263","uc002jhz.2,uc010dfa.1,uc010dfb.1,uc010dfc.1,uc010wqs.1,uc010wqt.1",-4.80974543309124,0.364713401594715,-20.0611352760133,7.76764443677073e-44,1.81918232709171e-40,89.1671250162722
"GPRASP1|9737","GPRASP1",9737,"ENSG00000198932","uc004eji.3,uc004ejj.3,uc010nod.2",-2.37862305569655,3.1470116110314,-19.8348767846391,2.62096562292193e-43,4.77423449135358e-40,88.0501426766293
"CA4|762","CA4",762,"ENSG00000167434","uc002iym.3,uc010wou.1",-7.14328560845133,-1.70991676527352,-19.8638872175604,2.24173204163243e-43,4.59386938631525e-40,87.9243600481436
"KLHL29|114818","KLHL29",114818,"ENSG00000119771","uc002ref.2,uc002reg.2,uc010ykg.1,uc010ykh.1",-2.90799752005228,2.49425281442492,-19.7205784105938,4.85668547469921e-43,7.23822742474717e-40,87.4363712090817
"HOXA4|3201","HOXA4",3201,"ENSG00000197576","uc003sym.3",-2.76630225512669,0.996617430000339,-19.7384249980254,4.41028181513669e-43,7.23021600773509e-40,87.4363500543358
"TMEM220|388335","TMEM220",388335,"ENSG00000187824","uc002gmx.2,uc002gmy.2",-2.45153058710048,2.01800107362653,-19.4771134972723,1.81684394589306e-42,2.48211163741423e-39,86.1093185494158
"C2orf88|84281","C2orf88",84281,"ENSG00000187699","uc002urq.2,uc002urr.2,uc002urs.2,uc002urt.2",-3.1832806775992,1.74481899744792,-19.2988431318848,4.79632135797225e-42,6.04853018019978e-39,85.1452188963608
"HOXA5|3202","HOXA5",3202,"ENSG00000106004","uc003syn.1",-3.17286277104355,0.843911991731947,-19.2284388324596,7.0450103143887e-42,8.24970707814916e-39,84.700656905212
"NR3C2|4306","NR3C2",4306,"ENSG00000151623","uc003ilj.3,uc003ilk.3,uc010iph.2",-2.83045904466556,3.04349646372385,-19.0503657741651,1.86810879385271e-41,1.91411097290134e-38,83.8021026658293
"HIF3A|64344","HIF3A",64344,"ENSG00000124440","uc002pef.1,uc002peg.3,uc002peh.2,uc002pei.3,uc002pej.1,uc002pek.2,uc002pel.2,uc010xxx.1,uc010xxy.1,uc010xxz.1",-5.22291355319676,-0.359315441806619,-19.0601523705518,1.77044216083408e-41,1.91411097290134e-38,83.7418147609577
"TSLP|85480","TSLP",85480,"ENSG00000145777","uc003kpa.2,uc003kpb.2,uc010jbt.1",-4.12688014666116,-0.847915274857471,-18.9025084222636,4.21073565076827e-41,4.060635309335e-38,82.7469008538002
"CD300LG|146894","CD300LG",146894,"ENSG00000161649","uc002iek.1,uc002iel.1,uc002iem.2,uc010czk.2,uc010czl.2,uc010wil.1",-5.87340537032332,1.47448022381711,-18.7668843707414,8.89495118143804e-41,8.10132387047195e-38,82.249710200537
"PPP1R12B|4660","PPP1R12B",4660,"ENSG00000077157","uc001gxy.2,uc001gxz.1,uc001gya.1,uc001gyb.1,uc001gyc.1,uc009xad.1,uc009xae.1",-2.08217917874795,6.09805000301475,-18.685621782429,1.3938588123093e-40,1.20268007205256e-37,81.7258454458954
"SPRY2|10253","SPRY2",10253,"ENSG00000136158","uc001vli.2,uc001vlj.2",-2.65486259349519,4.10730635274972,-18.6593092444361,1.61234890495818e-40,1.32164239739422e-37,81.6215032700366
"DMD|1756","DMD",1756,"ENSG00000198947","uc004dcm.1,uc004dcn.1,uc004dco.1,uc004dcp.1,uc004dcq.1,uc004dcr.1,uc004dcs.1,uc004dct.1,uc004dcu.1,uc004dcv.1,uc004dcw.2,uc004dcx.2,uc004dcy.1,uc004dcz.2,uc004dda.1,uc004ddb.1,uc004ddd.1,uc004ddf.2,uc010ngm.2,uc010ngn.1,uc010ngo.1,uc010ngp.1,uc010ngq.1,uc010ngr.1,uc011mkb.1",-3.51890946718564,4.27556516239742,-18.6218138845239,1.98444992118571e-40,1.47877600035993e-37,81.4130622703154
"KCNJ16|3773","KCNJ16",3773,"ENSG00000153822","uc002jin.2,uc002jio.2,uc002jip.2,uc002jiq.2",-5.82908887499682,-1.67529413753161,-18.6428222775791,1.76645692540315e-40,1.37901403976473e-37,81.3061369502423
"BTNL9|153579","BTNL9",153579,"ENSG00000165810","uc003mmt.2,uc011dhi.1",-4.25624110072657,2.93393958623948,-18.5383181062851,3.15302239460724e-40,2.24741952770396e-37,80.9890015162996
"ARHGAP20|57569","ARHGAP20",57569,"ENSG00000137727","uc001pky.1,uc001pkz.1,uc001pla.1,uc001plb.2,uc009yyb.1",-3.06821311031854,2.01476344090019,-18.3968526481173,6.92261056231301e-40,4.72871989827331e-37,80.2141204878542
"HLF|3131","HLF",3131,"ENSG00000108924","uc002iug.1,uc002iuh.2,uc010dce.1,uc010wni.1",-3.6750889258429,3.32815907639594,-18.3686025766324,8.10217283816148e-40,5.31308086035277e-37,80.0387893946096
"CPA1|1357","CPA1",1357,"ENSG00000091704","uc003vpw.2,uc003vpx.2,uc011kpf.1",-5.11971880786525,-3.6226022866503,-18.2008699331186,2.06624428075234e-39,1.30284648994822e-36,78.3979908936115
"ANGPTL7|10218","ANGPTL7",10218,"ENSG00000171819","uc001ase.2",-6.16555609888395,-2.21785695407432,-17.9889306618038,6.77684111846992e-39,4.11479752948873e-36,77.6496799801077
"SCN4B|6330","SCN4B",6330,"ENSG00000177098","uc001pse.2,uc010rxu.1,uc010rxv.1",-2.71538220723732,3.50425704912623,-17.8921129308483,1.16802845483925e-38,6.83880660308381e-36,77.3730081690363
"MAMDC2|256691","MAMDC2",256691,"ENSG00000165072","uc004ahm.2,uc004ahn.2",-3.48038478094253,2.88037002211064,-17.7873245449387,2.10809542223367e-38,1.15200387840329e-35,76.8043147805449
"C21orf34|388815","LINC00478",388815,"ENSG00000215386","uc002ykb.2,uc002ykc.2,uc010glc.2",-2.99099549349036,0.649919700225363,-17.7273976046886,2.95663037557059e-38,1.56358059280981e-35,76.4280583173719
"LOC572558|572558","PGM5-AS1",572558,"ENSG00000224958","uc004agp.2",-4.46283937743616,-4.25520902900783,-17.8075911475846,1.88039849608252e-38,1.06300872223368e-35,76.0486524667903
"LMOD1|25802","LMOD1",25802,"ENSG00000163431","uc001gxb.2,uc010ppu.1",-2.7544812638831,5.00026147388953,-17.6587501456098,4.35820882047704e-38,2.16510531523941e-35,76.0046691098273
"C10orf90|118611","C10orf90",118611,"ENSG00000154493","uc001ljo.2,uc001ljp.2,uc001ljq.2,uc001ljs.1,uc009yao.2,uc010qum.1",-4.85508680777884,-1.49030827268202,-17.678803615596,3.89096404087179e-38,1.99338951518913e-35,75.9824161792001
"FAM13A|10144","FAM13A",10144,"ENSG00000138640","uc003hsa.1,uc003hsb.1,uc003hsc.1,uc003hsd.1,uc003hse.1,uc003hsf.1,uc003hsg.1,uc003hsh.1,uc003hsi.2,uc003hsj.2,uc010ikr.1,uc011cdp.1,uc011cdq.1",-2.49033232615429,4.90642906021503,-17.6358880836519,4.96000107512627e-38,2.39159581251824e-35,75.8759781108511
"HSD17B13|345275","HSD17B13",345275,"ENSG00000170509","uc003hqo.2,uc010ikk.2",-5.24780477367629,-1.45209010510679,-17.3312328954637,2.79624978567085e-37,1.30976339960823e-34,74.0789243562076
"LRRC3B|116135","LRRC3B",116135,"ENSG00000179796","uc003cdp.2,uc003cdq.2",-4.47745805304111,-2.87897437148407,-17.3252918957024,2.89247365258359e-37,1.31720036279043e-34,73.7140645288875
"FXYD1|5348","FXYD1",5348,"ENSG00000266964","uc002nyb.1,uc002nyc.2,uc002nyd.2",-4.75875701120816,0.753232614597102,-17.2281481752114,5.03243895487886e-37,2.22977849260227e-34,73.6611029352316
"KL|9365","KL",9365,"ENSG00000133116","uc001uur.1,uc001uus.2",-2.77339378281744,1.38340357647391,-17.1912176313195,6.21347992707704e-37,2.68062605064476e-34,73.4504142676774
"MYOM1|8736","MYOM1",8736,"ENSG00000101605","uc002klp.2,uc002klq.2",-3.62810137599296,1.55017790121677,-17.0300999099783,1.56156621967464e-36,6.40007915133652e-34,72.5425425609364
"COL25A1|84570","COL25A1",84570,"ENSG00000188517","uc003hzd.2,uc003hze.1,uc003hzf.2,uc003hzg.2,uc003hzh.1",-3.29010382550034,-0.861339758602679,-17.0124281495936,1.72796886629113e-36,6.90934673023824e-34,72.2547995810775
"PDE2A|5138","PDE2A",5138,"ENSG00000186642","uc001osn.2,uc001oso.2,uc001osq.2,uc010rra.1,uc010rrb.1,uc010rrc.1,uc010rrd.1",-2.97824123212335,3.55252693881391,-16.9452183811025,2.5405316357995e-36,9.8710013431151e-34,72.0035621903027
"LDB2|9079","LDB2",9079,"ENSG00000169744","uc003goy.2,uc003goz.2,uc003gpa.2,uc003gpb.2,uc010iee.2,uc011bxh.1,uc011bxi.1",-2.10508903274641,4.18085815015701,-16.9419201237845,2.58907562372788e-36,9.8710013431151e-34,71.9553351323184
"TRPM3|80036","TRPM3",80036,"ENSG00000083067","uc004ahu.2,uc004ahv.2,uc004ahw.2,uc004ahx.2,uc004ahy.2,uc004ahz.2,uc004aia.2,uc004aib.2,uc004aic.2,uc004aid.2,uc004aie.2,uc004aif.2,uc004aig.2,uc004aii.2,uc010mor.2",-3.93002825933809,-4.06279421120307,-17.0590195313899,1.32320799695083e-36,5.56222356461844e-34,71.9153418282733
"CAPN11|11131","CAPN11",11131,"ENSG00000137225","uc003owt.1,uc011dvn.1",-3.42108387978039,-0.398277196253888,-16.90943864756,3.11979084763408e-36,1.16240570809348e-33,71.7450550860236
"IGSF10|285313","IGSF10",285313,"ENSG00000152580","uc011bob.1,uc011boc.1,uc011bod.1",-3.67403593894647,2.75893611611656,-16.8125933128239,5.44350048081912e-36,1.98312770850108e-33,71.2761653572914
"ANKRD29|147463","ANKRD29",147463,"ENSG00000154065","uc002kun.2,uc002kuo.2",-2.94227601796521,1.68913225077795,-16.6903797351765,1.10053265842505e-35,3.92220269613484e-33,70.6033706572815
"MAB21L1|4081","MAB21L1",4081,"ENSG00000180660","uc001uvc.2",-3.13144769768541,0.565120821532748,-16.6795839334246,1.17123406731946e-35,4.08536410630537e-33,70.5141399144462
"C2orf40|84417","C2orf40",84417,"ENSG00000119147","uc010fjf.2",-4.83226150653855,1.23211976750897,-16.6463200805859,1.41904513575287e-35,4.84663040740261e-33,70.3507364508345
"SAMD5|389432","SAMD5",389432,"ENSG00000203727","uc003qmc.1",-3.5480301332436,2.46815843668258,-16.5743635073885,2.15022944258231e-35,7.1940533636111e-33,69.9184666846694
"CACHD1|57685","CACHD1",57685,"ENSG00000158966","uc001dbo.1,uc001dbp.1,uc001dbq.1,uc010opa.1",-2.53924411122758,4.19585967993334,-16.555801619447,2.39377509448586e-35,7.84870977980023e-33,69.7339984682966
"EFHA2|286097","MICU3",286097,"ENSG00000155970","uc003wxd.2",-2.62317317881184,1.0074622159381,-16.4824567189216,3.65906577021008e-35,1.17012691120565e-32,69.3963410346727
"CXCL2|2920","CXCL2",2920,"ENSG00000081041","uc003hhm.3",-4.4830676226141,1.07057506022416,-16.4593306854639,4.18339805010722e-35,1.27144082351118e-32,69.277667333924
