PATIENT_ID,TMED4,TMED9
TCGA.CS.4938.01,9.904265811,11.0906616
TCGA.CS.4941.01,10.53808221,11.57509956
TCGA.CS.4942.01,10.23835697,11.25356388
TCGA.CS.4943.01,9.811633183,10.90020265
TCGA.CS.4944.01,10.3645396,11.72781412
TCGA.CS.5390.01,10.17720773,10.34859538
TCGA.CS.5393.01,10.34695689,10.61088642
TCGA.CS.5394.01,9.685365534,10.49849023
TCGA.CS.5395.01,10.57817453,11.12262096
TCGA.CS.5396.01,10.4148332,10.81216928
TCGA.CS.5397.01,10.485296,11.34995569
TCGA.CS.6186.01,10.41698748,11.46201652
TCGA.CS.6188.01,10.33402741,11.68405603
TCGA.CS.6290.01,9.56817655,11.06328721
TCGA.CS.6665.01,9.731361463,10.73222679
TCGA.CS.6666.01,9.875446807,10.78972925
TCGA.CS.6667.01,9.934385283,10.7424105
TCGA.CS.6668.01,10.39343336,10.50828999
TCGA.CS.6669.01,9.362316458,10.57913677
TCGA.CS.6670.01,9.779707866,10.89295257
TCGA.DB.5270.01,9.816674898,10.76982958
TCGA.DB.5273.01,9.730580522,11.40953414
TCGA.DB.5274.01,9.006657082,11.46769724
TCGA.DB.5275.01,9.854508444,11.02038969
TCGA.DB.5276.01,9.715419806,10.59466984
TCGA.DB.5277.01,10.07403439,10.53598488
TCGA.DB.5278.01,9.890647323,10.70812687
TCGA.DB.5279.01,10.68136141,10.69423599
TCGA.DB.5280.01,9.965914121,10.67713822
TCGA.DB.5281.01,9.945914903,10.61864245
TCGA.DB.A4X9.01,10.31676801,10.68045623
TCGA.DB.A4XA.01,9.942495445,10.96816997
TCGA.DB.A4XB.01,10.00407998,10.65089019
TCGA.DB.A4XC.01,9.655775773,10.485779
TCGA.DB.A4XD.01,9.721386332,10.70908381
TCGA.DB.A4XE.01,10.09783462,10.79065802
TCGA.DB.A4XF.01,9.979753855,10.59822003
TCGA.DB.A4XG.01,9.981824119,10.66297984
TCGA.DB.A4XH.01,9.969962045,10.30437414
TCGA.DB.A64L.01,10.28203431,10.63849927
TCGA.DB.A64O.01,10.87173586,11.50137445
TCGA.DB.A64P.01,10.01771317,10.90496572
TCGA.DB.A64Q.01,10.0364896,10.85155386
TCGA.DB.A64R.01,9.990728004,10.61677855
TCGA.DB.A64S.01,9.507061216,11.06810648
TCGA.DB.A64U.01,9.954673252,10.74850316
TCGA.DB.A64V.01,9.866714835,11.22591234
TCGA.DB.A64W.01,9.427775857,10.31059006
TCGA.DB.A64X.01,9.408032466,11.00118298
TCGA.DB.A75K.01,10.09954507,11.35650149
TCGA.DB.A75L.01,9.751808473,10.22459262
TCGA.DB.A75M.01,9.897415911,11.25878978
TCGA.DB.A75O.01,9.700887023,11.51909563
TCGA.DB.A75P.01,10.04634645,11.53461901
TCGA.DH.5140.01,10.17111423,10.71383326
TCGA.DH.5141.01,10.19751159,11.0985322
