PATIENT_ID,TMED4,TMED9
TCGA.CS.4938.01,958.255,2180.83
TCGA.CS.4941.01,1486.89,3051.07
TCGA.CS.4942.01,1207.96,2441.52
TCGA.CS.4943.01,898.661,1911.12
TCGA.CS.4944.01,1318.37,3391.75
TCGA.CS.5390.01,1157.83,1303.88
TCGA.CS.5393.01,1302.4,1563.85
TCGA.CS.5394.01,823.352,1446.64
TCGA.CS.5395.01,1528.79,2229.68
TCGA.CS.5396.01,1365.14,1797.99
TCGA.CS.5397.01,1433.47,2610.22
TCGA.CS.6186.01,1367.18,2821.05
TCGA.CS.6188.01,1290.78,3290.42
TCGA.CS.6290.01,759.116,2139.84
TCGA.CS.6665.01,850.025,1701.07
TCGA.CS.6666.01,939.303,1770.24
TCGA.CS.6667.01,978.471,1713.12
TCGA.CS.6668.01,1345.04,1456.5
TCGA.CS.6669.01,658.17,1529.81
TCGA.CS.6670.01,878.993,1901.54
TCGA.DB.5270.01,901.807,1745.99
TCGA.DB.5273.01,849.565,2720.27
TCGA.DB.5274.01,514.368,2832.18
TCGA.DB.5275.01,925.769,2077.15
TCGA.DB.5276.01,840.684,1546.37
TCGA.DB.5277.01,1077.92,1484.73
TCGA.DB.5278.01,949.252,1672.89
TCGA.DB.5279.01,1642.14,1656.86
TCGA.DB.5280.01,1000.09,1637.34
TCGA.DB.5281.01,986.322,1572.28
TCGA.DB.A4X9.01,1275.43,1641.11
TCGA.DB.A4XA.01,983.987,2003.31
TCGA.DB.A4XB.01,1026.9,1607.82
TCGA.DB.A4XC.01,806.637,1433.95
TCGA.DB.A4XD.01,844.168,1674
TCGA.DB.A4XE.01,1095.85,1771.38
TCGA.DB.A4XF.01,1009.73,1550.18
TCGA.DB.A4XG.01,1011.18,1621.35
TCGA.DB.A4XH.01,1002.9,1264.52
TCGA.DB.A64L.01,1245.09,1594.07
TCGA.DB.A64O.01,1873.78,2899.07
TCGA.DB.A64P.01,1036.65,1917.44
TCGA.DB.A64Q.01,1050.23,1847.75
TCGA.DB.A64R.01,1017.44,1570.25
TCGA.DB.A64S.01,727.63,2147
TCGA.DB.A64U.01,992.328,1720.37
TCGA.DB.A64V.01,933.635,2395.17
TCGA.DB.A64W.01,688.721,1269.98
TCGA.DB.A64X.01,679.36,2049.68
TCGA.DB.A75K.01,1097.15,2622.09
TCGA.DB.A75L.01,862.158,1196.49
TCGA.DB.A75M.01,953.716,2450.38
TCGA.DB.A75O.01,832.258,2934.9
TCGA.DB.A75P.01,1057.43,2966.65
TCGA.DH.5140.01,1152.95,1679.52
TCGA.DH.5141.01,1174.24,2192.76
TCGA.DH.5142.01,791.738,2743.73
TCGA.DH.5143.01,1001.27,1983.1
TCGA.DH.5144.01,1086.5,1780.42
TCGA.DH.A669.01,1218.1,2422.19
TCGA.DH.A66B.01,836.466,2366.65
TCGA.DH.A66D.01,890.432,1865.74
TCGA.DH.A66F.01,1038.33,2035.49
TCGA.DH.A66G.01,730.397,1418.6
TCGA.DH.A7UR.01,1096.76,2250
TCGA.DH.A7US.01,1153.75,2251.82
TCGA.DH.A7UT.01,1003.47,2387.64
TCGA.DH.A7UU.01,919.6,1269.45
