PATIENT_ID,FOXM1,MCM2
TCGA.3C.AAAU.01,10.36079223,10.93819021
TCGA.3C.AALI.01,10.65224447,11.21543593
TCGA.3C.AALJ.01,10.29580337,10.1301458
TCGA.3C.AALK.01,9.027919815,10.0043188
TCGA.4H.AAAK.01,8.699791053,10.30666553
TCGA.5L.AAT0.01,7.024175598,9.870417124
TCGA.5T.A9QA.01,9.89773052,10.67035529
TCGA.A1.A0SB.01,8.500582988,10.22095868
TCGA.A1.A0SD.01,8.942056993,9.611777311
TCGA.A1.A0SE.01,9.585826356,10.23021262
TCGA.A1.A0SF.01,9.103880503,10.12927014
TCGA.A1.A0SG.01,8.306736157,9.772098442
TCGA.A1.A0SH.01,8.468921307,9.529108401
TCGA.A1.A0SI.01,9.588635941,12.19036485
TCGA.A1.A0SJ.01,10.18707984,9.78975207
TCGA.A1.A0SK.01,13.61534226,12.83730664
TCGA.A1.A0SM.01,9.555503675,9.79132734
TCGA.A1.A0SN.01,10.85909213,10.65919318
TCGA.A1.A0SO.01,12.18340897,12.59721922
TCGA.A1.A0SP.01,13.29177505,12.70301892
TCGA.A1.A0SQ.01,9.391709731,10.40998486
TCGA.A2.A04N.01,8.219841299,9.424611419
TCGA.A2.A04P.01,9.780797281,10.43060936
TCGA.A2.A04Q.01,11.15732799,10.52268941
TCGA.A2.A04R.01,10.36472562,10.95140858
TCGA.A2.A04T.01,12.94590101,11.28600322
TCGA.A2.A04U.01,10.72703551,11.37667349
TCGA.A2.A04V.01,9.868978388,10.03237639
TCGA.A2.A04W.01,10.56932399,10.12300913
TCGA.A2.A04X.01,10.597168,10.51188111
TCGA.A2.A04Y.01,9.857953012,9.425251577
TCGA.A2.A0CK.01,9.435911905,10.06569886
TCGA.A2.A0CL.01,10.13984549,10.95415995
TCGA.A2.A0CM.01,11.33691376,11.31627022
TCGA.A2.A0CO.01,7.263325545,8.867939695
TCGA.A2.A0CP.01,7.078695219,9.222831121
TCGA.A2.A0CQ.01,9.49344119,8.97648966
TCGA.A2.A0CR.01,8.473786912,10.20773427
TCGA.A2.A0CS.01,8.623720572,9.686952174
TCGA.A2.A0CT.01,9.341354252,10.59991284
TCGA.A2.A0CU.01,9.701644351,10.28413005
TCGA.A2.A0CV.01,5.627533884,9.452653086
TCGA.A2.A0CW.01,11.25266543,11.18971339
TCGA.A2.A0CX.01,10.29119373,11.06993305
TCGA.A2.A0CZ.01,7.48948674,8.476697607
TCGA.A2.A0D0.01,12.0824784,12.13113672
TCGA.A2.A0D1.01,11.10651714,10.38563595
TCGA.A2.A0D2.01,12.76389495,11.51132275
TCGA.A2.A0D3.01,6.707607613,9.404649842
TCGA.A2.A0D4.01,10.12826504,11.3527497
TCGA.A2.A0EM.01,8.188005221,10.27280472
TCGA.A2.A0EN.01,8.169434001,8.910411881
TCGA.A2.A0EO.01,8.296608827,9.185916088
TCGA.A2.A0EP.01,8.561215379,9.624563363
TCGA.A2.A0EQ.01,10.85990745,10.67799265
TCGA.A2.A0ER.01,10.39221008,10.32696871
TCGA.A2.A0ES.01,7.473291752,8.453628691
TCGA.A2.A0ET.01,9.097281581,9.884481924
TCGA.A2.A0EU.01,8.927250556,10.22660486
TCGA.A2.A0EV.01,8.495027538,9.788733012
TCGA.A2.A0EW.01,8.00572559,9.136514406
TCGA.A2.A0EX.01,7.172897496,9.679791477
TCGA.A2.A0EY.01,9.765297703,10.46155107
TCGA.A2.A0ST.01,11.14236238,10.32675529
TCGA.A2.A0SU.01,9.421200152,10.13069925
TCGA.A2.A0SV.01,10.61276715,11.21505971
TCGA.A2.A0SW.01,10.54633502,10.53176158
TCGA.A2.A0SX.01,10.50842865,11.39467169
TCGA.A2.A0SY.01,8.739962833,10.18538342
TCGA.A2.A0T0.01,10.06919464,10.94073203
TCGA.A2.A0T1.01,9.836749435,11.12999131
TCGA.A2.A0T2.01,8.638287473,10.06773013
TCGA.A2.A0T3.01,10.99011106,11.26037269
TCGA.A2.A0T4.01,10.42410329,10.52064814
TCGA.A2.A0T5.01,9.141123647,10.2172186
TCGA.A2.A0T6.01,6.831801255,9.138466365
TCGA.A2.A0T7.01,9.011403388,10.45418618
TCGA.A2.A0YC.01,9.217327668,9.611091211
TCGA.A2.A0YD.01,8.225467749,9.140395236
TCGA.A2.A0YE.01,12.15809525,10.87818889
TCGA.A2.A0YF.01,9.397644688,10.00464183
TCGA.A2.A0YG.01,10.67427173,11.33928773
TCGA.A2.A0YH.01,10.69466259,10.64795303
TCGA.A2.A0YI.01,7.336569042,8.721065001
