PATIENT_ID,FOXM1,MCM2
TCGA.3C.AAAU.01,1313.95,1961.11
TCGA.3C.AALI.01,1608.33,2376.84
TCGA.3C.AALJ.01,1256.03,1119.67
TCGA.3C.AALK.01,521.005,1026.07
TCGA.4H.AAAK.01,414.813,1265.53
TCGA.5L.AAT0.01,129.163,935.034
TCGA.5T.A9QA.01,952.924,1628.66
TCGA.A1.A0SB.01,361.185,1192.48
TCGA.A1.A0SD.01,490.844,781.408
TCGA.A1.A0SE.01,767.46,1200.16
TCGA.A1.A0SF.01,549.226,1118.99
TCGA.A1.A0SG.01,315.648,873.369
TCGA.A1.A0SH.01,353.323,737.835
TCGA.A1.A0SI.01,768.958,4672.75
TCGA.A1.A0SJ.01,1164.78,884.134
TCGA.A1.A0SK.01,12548.5,7317.37
TCGA.A1.A0SM.01,751.477,885.101
TCGA.A1.A0SN.01,1856.43,1616.1
TCGA.A1.A0SO.01,4650.27,6195.42
TCGA.A1.A0SP.01,10027.2,6666.91
TCGA.A1.A0SQ.01,670.717,1359.56
TCGA.A2.A04N.01,297.139,686.212
TCGA.A2.A04P.01,878.657,1379.15
TCGA.A2.A04Q.01,2282.97,1470.11
TCGA.A2.A04R.01,1317.54,1979.17
TCGA.A2.A04T.01,7889.5,2496.04
TCGA.A2.A04U.01,1693.96,2658.01
TCGA.A2.A04V.01,934.101,1046.24
TCGA.A2.A04W.01,1518.44,1114.14
TCGA.A2.A04X.01,1548.05,1459.13
TCGA.A2.A04Y.01,926.982,686.517
TCGA.A2.A0CK.01,691.616,1070.71
TCGA.A2.A0CL.01,1127.23,1982.95
TCGA.A2.A0CM.01,2585.73,2548.98
TCGA.A2.A0CO.01,152.631,466.214
TCGA.A2.A0CP.01,134.176,596.515
TCGA.A2.A0CQ.01,719.793,502.724
TCGA.A2.A0CR.01,354.52,1181.59
TCGA.A2.A0CS.01,393.456,823.258
TCGA.A2.A0CT.01,647.676,1551
TCGA.A2.A0CU.01,831.695,1245.9
TCGA.A2.A0CV.01,48.4375,699.7
TCGA.A2.A0CW.01,2439,2334.82
TCGA.A2.A0CX.01,1252.02,2148.72
TCGA.A2.A0CZ.01,178.705,355.238
TCGA.A2.A0D0.01,4335.99,4484.76
TCGA.A2.A0D1.01,2203.93,1336.79
TCGA.A2.A0D2.01,6954.29,2918.13
TCGA.A2.A0D3.01,103.518,676.769
TCGA.A2.A0D4.01,1118.21,2614.28
TCGA.A2.A0EM.01,290.632,1236.15
TCGA.A2.A0EN.01,286.902,480.173
TCGA.A2.A0EO.01,313.433,581.42
TCGA.A2.A0EP.01,376.731,788.373
TCGA.A2.A0EQ.01,1857.48,1637.31
TCGA.A2.A0ER.01,1342.9,1283.48
TCGA.A2.A0ES.01,176.699,349.587
TCGA.A2.A0ET.01,546.715,944.204
TCGA.A2.A0EU.01,485.822,1197.16
TCGA.A2.A0EV.01,359.793,883.509
TCGA.A2.A0EW.01,256.018,561.814
TCGA.A2.A0EX.01,143.297,819.177
TCGA.A2.A0EY.01,869.257,1409.07
TCGA.A2.A0ST.01,2259.4,1283.29
TCGA.A2.A0SU.01,684.589,1120.1
TCGA.A2.A0SV.01,1564.89,2376.22
TCGA.A2.A0SW.01,1494.42,1479.39
TCGA.A2.A0SX.01,1455.64,2691.39
TCGA.A2.A0SY.01,426.554,1163.41
TCGA.A2.A0T0.01,1073.31,1964.57
TCGA.A2.A0T1.01,913.443,2240.1
TCGA.A2.A0T2.01,397.459,1072.22
TCGA.A2.A0T3.01,2033.01,2452.07
TCGA.A2.A0T4.01,1372.94,1468.03
TCGA.A2.A0T5.01,563.615,1189.39
TCGA.A2.A0T6.01,112.914,562.576
TCGA.A2.A0T7.01,515.063,1401.89
TCGA.A2.A0YC.01,594.24,781.036
TCGA.A2.A0YD.01,298.304,563.33
TCGA.A2.A0YE.01,4569.37,1881.18
TCGA.A2.A0YF.01,673.486,1026.3
TCGA.A2.A0YG.01,1633.09,2589.99
TCGA.A2.A0YH.01,1656.35,1603.55
TCGA.A2.A0YI.01,160.632,420.99
TCGA.A2.A0YJ.01,3648.67,1386.49
TCGA.A2.A0YK.01,311.37,749.879
TCGA.A2.A0YL.01,592.155,999.119
TCGA.A2.A0YM.01,6036.05,3767.51
TCGA.A2.A0YT.01,1562.04,1785.99
TCGA.A2.A1FV.01,397.87,530.777
TCGA.A2.A1FW.01,1475.34,1297.23
TCGA.A2.A1FX.01,1175.38,2244.4
TCGA.A2.A1FZ.01,380.112,1392.22
TCGA.A2.A1G0.01,131.818,465.483
TCGA.A2.A1G1.01,4439.59,1065.77
TCGA.A2.A1G4.01,1270.93,2061.53
TCGA.A2.A1G6.01,47.7852,381.588
TCGA.A2.A259.01,148.104,566.425
TCGA.A2.A25A.01,465.861,779.438
TCGA.A2.A25B.01,1248.77,1263.79
TCGA.A2.A25C.01,580.101,612.704
TCGA.A2.A25D.01,1149.72,1678.98
TCGA.A2.A25E.01,1665.05,1091.19
TCGA.A2.A25F.01,1753.41,1371.88
TCGA.A2.A3KC.01,729.838,967.158
TCGA.A2.A3KD.01,762.33,650.173
TCGA.A2.A3XS.01,1537.21,2434.34
TCGA.A2.A3XT.01,4596.62,3174.31
TCGA.A2.A3XU.01,1297.67,3351.02
TCGA.A2.A3XV.01,531.342,696.344
TCGA.A2.A3XW.01,542.814,1067.33
TCGA.A2.A3XX.01,1666.02,2139.32
TCGA.A2.A3XY.01,1803.41,1270.81
TCGA.A2.A3XZ.01,1198.05,1088.9
TCGA.A2.A3Y0.01,4744.21,3417.5
TCGA.A2.A4RW.01,385.297,665.86
TCGA.A2.A4RX.01,557.152,3288.59
TCGA.A2.A4RY.01,226.924,677.165
TCGA.A2.A4S0.01,224.442,562.932
TCGA.A2.A4S1.01,296.078,685.782
TCGA.A2.A4S2.01,304.794,680.044
TCGA.A2.A4S3.01,2358.27,2805.81
TCGA.A7.A0CD.01,535.631,1924.37
TCGA.A7.A0CE.01,4005.5,2489.02
TCGA.A7.A0CG.01,486.217,633.831
TCGA.A7.A0CH.01,288.573,751.45
TCGA.A7.A0CJ.01,1381.99,3810.93
TCGA.A7.A0D9.01,202.569,467.682
TCGA.A7.A0DA.01,1214.92,1381.53
TCGA.A7.A0DB.01,328.012,897.404
TCGA.A7.A0DC.01,224.303,946.987
TCGA.A7.A13D.01,1887.96,2631.06
TCGA.A7.A13E.01,2391.15,1441.66
TCGA.A7.A13F.01,2924.96,3280.32
TCGA.A7.A13G.01,242.341,559.36
TCGA.A7.A13H.01,245.03,848.486
TCGA.A7.A26E.01,414.582,673.746
TCGA.A7.A26F.01,1178.29,692.665
TCGA.A7.A26G.01,872.615,699.546
TCGA.A7.A26H.01,365.016,1453.26
TCGA.A7.A26I.01,1639.07,1215.49
TCGA.A7.A26J.01,1266.99,811.484
TCGA.A7.A2KD.01,884.708,1286.45
TCGA.A7.A3IY.01,414.972,796.054
TCGA.A7.A3IZ.01,1123.13,1582.06
TCGA.A7.A3J0.01,995.696,822.36
TCGA.A7.A3J1.01,367.192,952.711
TCGA.A7.A3RF.01,601.867,605.834
TCGA.A7.A425.01,972.942,1167.2
TCGA.A7.A426.01,375.621,912.368
TCGA.A7.A4SA.01,684.54,1193.77
TCGA.A7.A4SB.01,1127.86,951.184
TCGA.A7.A4SC.01,522.25,737.073
TCGA.A7.A4SD.01,3272.6,3031.34
TCGA.A7.A4SE.01,2673.99,1579.05
TCGA.A7.A4SF.01,1799.07,1712.75
TCGA.A7.A56D.01,504.359,1481.98
