"","FOXM1","MCM2"
"TCGA.A7.A0CE.11",7.13672458606952,9.05040918612337
"TCGA.A7.A0CH.11",6.71212801172193,8.61253311923481
"TCGA.A7.A0D9.11",5.26334996086142,7.25964912064916
"TCGA.A7.A0DB.11",8.66471393181624,8.15752883990666
"TCGA.A7.A0DC.11",6.73891642133436,8.55324913256477
"TCGA.A7.A13E.11",5.83833665053071,7.5978290978269
"TCGA.A7.A13F.11",5.75079138518401,8.42652475189066
"TCGA.A7.A13G.11",3.63734361395543,6.9848285645458
"TCGA.AC.A23H.11",5.94039465010191,8.54213807818469
"TCGA.AC.A2FB.11",6.26329925131521,8.84782156837817
"TCGA.AC.A2FF.11",8.54025980323334,9.7260341912107
"TCGA.AC.A2FM.11",5.5801243746007,8.8988915598421
"TCGA.BH.A0AU.11",5.60913144800323,9.11422905855958
"TCGA.BH.A0AY.11",5.99725401355065,8.60941885945807
"TCGA.BH.A0AZ.11",5.36536009681043,8.75386523107907
"TCGA.BH.A0B2.11",7.52317770892943,9.05652121109136
"TCGA.BH.A0B3.11",6.14024081631846,8.6640454429097
"TCGA.BH.A0B5.11",3.99491456438017,6.57673526132362
"TCGA.BH.A0B7.11",7.01524777369894,9.44980276648788
"TCGA.BH.A0B8.11",4.92180286132148,6.92743428126299
"TCGA.BH.A0BA.11",7.43060308590293,9.07185918319356
"TCGA.BH.A0BC.11",6.82404225064916,9.16078660285639
"TCGA.BH.A0BJ.11",6.78252651300703,9.27772676813126
"TCGA.BH.A0BM.11",7.3311319222172,9.31460816694145
"TCGA.BH.A0BQ.11",7.52262860687152,9.23279264608607
"TCGA.BH.A0BS.11",6.10416889482345,9.46867698488389
"TCGA.BH.A0BT.11",6.00822466940451,8.86250098466502
"TCGA.BH.A0BV.11",7.68235558453167,8.9735911869302
"TCGA.BH.A0BW.11",8.76658853655314,9.79893831317086
"TCGA.BH.A0BZ.11",5.78923105482241,7.74400632054296
"TCGA.BH.A0C0.11",5.77130722282698,8.92110006426678
"TCGA.BH.A0C3.11",6.8040019151793,9.22752690027189
"TCGA.BH.A0DD.11",6.03354634118452,7.62212505084853
"TCGA.BH.A0DG.11",7.23016457788425,9.1250621178987
"TCGA.BH.A0DH.11",6.33392994785151,8.72851238249458
"TCGA.BH.A0DK.11",7.10482935668395,8.82271740323239
"TCGA.BH.A0DL.11",6.77790623070715,8.7994435310716
"TCGA.BH.A0DO.11",6.2551607911283,9.25233901533669
"TCGA.BH.A0DP.11",5.15363917342995,8.69535358646848
"TCGA.BH.A0DQ.11",6.76334517497438,8.93795343025903
"TCGA.BH.A0DT.11",6.60514908639168,8.94695012470308
"TCGA.BH.A0DV.11",4.81481699493118,8.24659335296685
"TCGA.BH.A0DZ.11",7.89424784683029,10.1806178263942
"TCGA.BH.A0E0.11",6.69139457853808,8.93442214303666
"TCGA.BH.A0E1.11",5.76385238962279,9.48843266283457
"TCGA.BH.A0H5.11",5.86458979511898,9.05289404674744
"TCGA.BH.A0H7.11",8.44404582426789,9.88051564599897
"TCGA.BH.A0H9.11",4.09840271319868,7.62589145113267
"TCGA.BH.A0HA.11",6.85156166625625,9.82483148507807
"TCGA.BH.A0HK.11",5.890378593532,8.66847019412824
"TCGA.BH.A18J.11",6.88662330444719,8.78265100329732
"TCGA.BH.A18K.11",5.22835310577765,8.43719444146808
"TCGA.BH.A18L.11",5.61342262159926,8.25284043729939
"TCGA.BH.A18M.11",6.93485849960284,8.60465329694083
"TCGA.BH.A18N.11",5.41894551172828,8.17176726835231
"TCGA.BH.A18P.11",4.50394655367859,7.7719977896332
"TCGA.BH.A18Q.11",6.24252057559581,8.77998193785167
"TCGA.BH.A18R.11",5.26163987826424,8.65541981115211
"TCGA.BH.A18S.11",5.87059898437248,8.11174601243103
"TCGA.BH.A18U.11",8.53042584602789,9.79177663612522
"TCGA.BH.A18V.11",6.11574076263314,8.49245008824152
"TCGA.BH.A1EN.11",5.64971604186471,7.88867019919871
"TCGA.BH.A1EO.11",5.53949695160592,7.61487913002945
"TCGA.BH.A1ET.11",4.76446824305413,8.13217580983722
"TCGA.BH.A1EU.11",5.37369344708361,8.16479633257307
"TCGA.BH.A1EV.11",7.89268245002123,9.13988640754967
"TCGA.BH.A1EW.11",7.90095131483862,8.35180056456783
"TCGA.BH.A1F0.11",4.46707728027715,8.21383328309929
"TCGA.BH.A1F2.11",5.84984167494533,8.21023299009585
"TCGA.BH.A1F6.11",5.71498728439205,7.59003306842786
"TCGA.BH.A1F8.11",7.34340782229781,9.0085854891193
"TCGA.BH.A1FB.11",5.14031240347986,8.48801684355025
"TCGA.BH.A1FC.11",5.33847789976744,8.26448482482939
"TCGA.BH.A1FD.11",4.25693516147121,8.07580000982907
"TCGA.BH.A1FE.11",7.10713336284301,9.10256628049456
"TCGA.BH.A1FG.11",4.42334958049936,7.19348593533289
"TCGA.BH.A1FH.11",7.08730371169808,8.71325590173097
"TCGA.BH.A1FJ.11",5.56725337455015,7.77160831362487
"TCGA.BH.A1FM.11",5.83270523612522,8.52593574446498
"TCGA.BH.A1FN.11",7.24468730507999,8.90330947321686
"TCGA.BH.A1FR.11",6.66455394936935,8.33485426933163
"TCGA.BH.A1FU.11",5.30589393503894,9.00372309330499
"TCGA.BH.A203.11",6.4058086085117,8.34922371893827
"TCGA.BH.A204.11",5.42028364225248,7.43585358093321
"TCGA.BH.A208.11",4.98202613150345,8.96729543735916
"TCGA.BH.A209.11",6.24408407026064,8.34478855963558
"TCGA.E2.A153.11",7.17423661860851,8.7685416453501
"TCGA.E2.A158.11",6.31965947755477,8.59335750620496
"TCGA.E2.A15I.11",4.26928754120009,7.54916087307755
"TCGA.E2.A15K.11",6.71762159275927,8.73515658324781
"TCGA.E2.A15M.11",5.52897756659704,8.00372590380372
"TCGA.E2.A1BC.11",3.78865439272569,7.32912359629157
"TCGA.E2.A1IG.11",6.26106814593759,8.52770766243771
"TCGA.E2.A1L7.11",7.29642987476042,9.32065841555115
"TCGA.E2.A1LB.11",7.74595661760141,9.78896949797834
"TCGA.E2.A1LH.11",5.76444435708903,8.7684291650847
"TCGA.E2.A1LS.11",4.61836788144821,7.85029312112268
"TCGA.E9.A1N4.11",6.88583057128758,9.2390065329171
"TCGA.E9.A1N5.11",9.87957865503527,10.3085210621933
"TCGA.E9.A1N6.11",6.38516870515518,9.39498780005386
"TCGA.E9.A1N9.11",7.23018379575333,8.69227025964211
"TCGA.E9.A1NA.11",5.1635108083627,8.4905861745634
"TCGA.E9.A1ND.11",7.86488565118087,9.21501843978726
"TCGA.E9.A1NF.11",5.84985668373655,7.52017863565949
"TCGA.E9.A1NG.11",5.58856173927887,7.63750881584307
"TCGA.E9.A1R7.11",4.80789583128379,7.51918804362275
"TCGA.E9.A1RB.11",7.60798122926484,9.18470677075305
"TCGA.E9.A1RC.11",6.07987727148714,7.31288295528436
"TCGA.E9.A1RD.11",5.66183509200582,7.52670266924658
"TCGA.E9.A1RF.11",3.80379532153833,6.6854636553203
"TCGA.E9.A1RH.11",5.46963856150655,7.72829469011139
"TCGA.E9.A1RI.11",3.91842440047698,6.78608662414564
"TCGA.GI.A2C8.11",5.2293956531274,9.15554433584497
"TCGA.GI.A2C9.11",6.19028891336753,8.34099835844738
