PATIENT_ID,FOXM1,MCM2
TCGA.A7.A0CE.11,139.724,529.206
TCGA.A7.A0CH.11,103.846,390.409
TCGA.A7.A0D9.11,37.4084,152.24
TCGA.A7.A0DB.11,404.825,284.536
TCGA.A7.A0DC.11,105.811,374.651
TCGA.A7.A13E.11,56.2156,192.72
TCGA.A7.A13F.11,52.8469,343.062
TCGA.A7.A13G.11,11.4437,125.661
TCGA.AC.A23H.11,60.4097,371.769
TCGA.AC.A2FB.11,75.8141,459.744
TCGA.AC.A2FF.11,371.284,845.892
TCGA.AC.A2FM.11,46.8393,476.346
TCGA.BH.A0AU.11,47.8109,553.187
TCGA.BH.A0AY.11,62.8783,389.565
TCGA.BH.A0AZ.11,40.2225,430.694
TCGA.BH.A0B2.11,182.951,531.457
TCGA.BH.A0B3.11,69.5337,404.637
TCGA.BH.A0B5.11,14.9437,94.4541
TCGA.BH.A0B7.11,128.36,698.317
TCGA.BH.A0B8.11,29.3117,120.721
TCGA.BH.A0BA.11,171.518,537.148
TCGA.BH.A0BC.11,112.303,571.363
TCGA.BH.A0BJ.11,109.089,619.689
TCGA.BH.A0BM.11,160.024,635.761
TCGA.BH.A0BQ.11,182.881,600.655
TCGA.BH.A0BS.11,67.792,707.526
TCGA.BH.A0BT.11,63.3659,464.456
TCGA.BH.A0BV.11,204.409,501.713
TCGA.BH.A0BW.11,434.518,889.788
TCGA.BH.A0BZ.11,54.3009,213.377
TCGA.BH.A0C0.11,53.6181,483.751
TCGA.BH.A0C3.11,110.74,598.463
TCGA.BH.A0DD.11,64.5056,196.01
TCGA.BH.A0DG.11,149.14,557.364
TCGA.BH.A0DH.11,79.6683,423.174
TCGA.BH.A0DK.11,136.647,451.796
TCGA.BH.A0DL.11,108.737,444.55
TCGA.BH.A0DO.11,75.382,608.862
TCGA.BH.A0DP.11,34.5959,413.536
TCGA.BH.A0DQ.11,107.635,489.447
TCGA.BH.A0DT.11,96.3527,492.515
TCGA.BH.A0DV.11,27.1452,302.719
TCGA.BH.A0DZ.11,236.906,1159.57
TCGA.BH.A0E0.11,102.35,488.248
TCGA.BH.A0E1.11,53.3366,717.295
TCGA.BH.A0H5.11,57.2663,530.12
TCGA.BH.A0H7.11,347.266,941.609
TCGA.BH.A0H9.11,16.1294,196.525
TCGA.BH.A0HA.11,114.485,905.92
TCGA.BH.A0HK.11,58.3172,405.883
TCGA.BH.A18J.11,117.326,439.394
TCGA.BH.A18K.11,36.4879,345.616
TCGA.BH.A18L.11,47.9563,304.037
TCGA.BH.A18M.11,121.349,388.277
TCGA.BH.A18N.11,41.7824,287.368
TCGA.BH.A18P.11,21.6894,217.577
TCGA.BH.A18Q.11,74.7157,438.58
TCGA.BH.A18R.11,37.3629,402.219
TCGA.BH.A18S.11,57.5095,275.617
TCGA.BH.A18U.11,368.755,885.377
TCGA.BH.A18V.11,68.346,359.149
TCGA.BH.A1EN.11,49.2035,235.988
TCGA.BH.A1EO.11,45.5109,195.023
TCGA.BH.A1ET.11,26.1799,279.562
TCGA.BH.A1EU.11,40.4613,285.978
TCGA.BH.A1EV.11,236.648,563.131
TCGA.BH.A1EW.11,238.014,325.695
TCGA.BH.A1F0.11,21.1169,295.9
TCGA.BH.A1F2.11,56.6737,295.16
TCGA.BH.A1F6.11,51.527,191.676
TCGA.BH.A1F8.11,161.4,514.056
TCGA.BH.A1FB.11,34.2686,358.044
TCGA.BH.A1FC.11,39.4615,306.509
TCGA.BH.A1FD.11,18.119,268.81
TCGA.BH.A1FE.11,136.867,548.725
TCGA.BH.A1FG.11,20.4566,145.371
TCGA.BH.A1FH.11,134.985,418.712
TCGA.BH.A1FJ.11,46.4144,217.518
TCGA.BH.A1FM.11,55.9927,367.606
TCGA.BH.A1FN.11,150.659,477.81
TCGA.BH.A1FR.11,100.445,321.88
TCGA.BH.A1FU.11,38.5579,512.323
TCGA.BH.A203.11,83.7892,325.112
TCGA.BH.A204.11,41.8221,172.147
TCGA.BH.A208.11,30.6038,499.524
TCGA.BH.A209.11,74.7978,324.111
TCGA.E2.A153.11,143.431,435.108
TCGA.E2.A158.11,78.8743,385.241
TCGA.E2.A15I.11,18.2834,186.294
TCGA.E2.A15K.11,104.246,425.132
TCGA.E2.A15M.11,45.173,255.662
TCGA.E2.A1BC.11,12.8197,159.8
TCGA.E2.A1IG.11,75.6954,368.059
TCGA.E2.A1L7.11,156.197,638.437
TCGA.E2.A1LB.11,213.667,883.654
TCGA.E2.A1LH.11,53.3589,435.074
TCGA.E2.A1LS.11,23.5622,229.767
TCGA.E9.A1N4.11,117.261,603.252
TCGA.E9.A1N5.11,940.997,1267.16
TCGA.E9.A1N6.11,82.5848,672.245
TCGA.E9.A1N9.11,149.142,412.651
TCGA.E9.A1NA.11,34.8403,358.684
TCGA.E9.A1ND.11,232.113,593.288
TCGA.E9.A1NF.11,56.6743,182.569
TCGA.E9.A1NG.11,47.1199,198.122
TCGA.E9.A1R7.11,27.0105,182.443
TCGA.E9.A1RB.11,194.088,580.932
TCGA.E9.A1RC.11,66.6434,158
TCGA.E9.A1RD.11,49.627,183.401
TCGA.E9.A1RF.11,12.9655,101.926
TCGA.E9.A1RH.11,43.3124,211.055
TCGA.E9.A1RI.11,14.1204,109.361
TCGA.GI.A2C8.11,36.515,569.287
TCGA.GI.A2C9.11,72.0235,323.258
